ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
530-33-6166|4557790827237|Angela|Schneider|F|22591 Robert Isle|De Leon|TX|76444|32.1087|-98.5489|3635|Clothing/textile technologist|1975-08-25|740802473168|adults_50up_female_urban.json
491-27-9680|4030299228092023|David|White|M|904 Jay Rest Suite 723|Rochester|NY|14620|43.1317|-77.6062|478127|Paediatric nurse|1959-04-16|157199405309|adults_50up_male_urban.json
841-99-2980|3525799136621031|Joseph|Blankenship|M|91279 Natalie Place Apt. 172|Saint Augustine|FL|32086|29.8285|-81.3237|109984|Toxicologist|1958-10-28|908554315130|adults_50up_male_urban.json
794-87-7070|180050863765993|Brent|Anderson|M|14986 Lopez Station Apt. 981|Delta|UT|84624|39.3755|-112.5319|5668|Scientist, product/process development|1931-01-15|412347758641|adults_50up_male_urban.json
211-89-5176|6512694486959461|Nicole|Gutierrez|F|58874 Lane Trail Suite 213|South Boston|VA|24592|36.6963|-78.9188|13934|Product manager|1978-04-09|772162574642|adults_2550_female_urban.json
103-28-8329|6589026012796117|Deborah|Wood|F|669 Dawson Ranch|Pittsburgh|PA|15237|40.5488|-80.0474|687276|Barista|1935-07-03|854465343288|adults_50up_female_urban.json
656-64-7193|568430988390|Christopher|Johnson|M|021 Chan Knoll|Tacoma|WA|98404|47.2113|-122.4126|323239|Nutritional therapist|1979-12-18|645986493050|adults_2550_male_urban.json
531-02-1125|2704895543937690|Abigail|Thompson|F|184 Arroyo Unions|Syracuse|NY|13208|43.073|-76.1486|229807|Scientific laboratory technician|2004-10-25|283281909609|young_adults_female_urban.json
833-74-4099|3569735779071412|Janet|Kramer|F|356 Black Branch|Grand Rapids|MI|49505|43.012|-85.6309|375580|General practice doctor|2005-04-20|314598870934|young_adults_female_urban.json
409-87-5604|2702755394237339|Nancy|Salas|F|33952 David Common|Brigantine|NJ|08203|39.3702|-74.494|9454|Research officer, government|1988-03-01|6931334095|adults_2550_female_urban.json
044-62-6082|3579472846392088|Rebecca|Mendoza|F|562 Bray Square|Bessemer|AL|35023|33.468|-87.0924|71463|Scientist, marine|1982-06-04|345573371830|adults_2550_female_urban.json
009-02-3453|6011559428434798|Greg|White|M|65564 White Curve Apt. 143|Staten Island|NY|10304|40.6102|-74.0878|468730|Surveyor, building control|1994-06-14|942454203201|adults_2550_male_urban.json
201-19-2451|30026728857441|Justin|Bradley|M|20347 Shannon Isle Suite 558|Jacksonville|FL|32246|30.2933|-81.5092|847415|Surveyor, hydrographic|1966-12-16|893060472234|adults_50up_male_urban.json
353-03-6747|2289399824558773|Steve|James|M|2256 Sweeney Cliffs Apt. 253|Saint Louis|MO|63119|38.5893|-90.3481|927396|Interior and spatial designer|1976-10-07|718620520120|adults_2550_male_urban.json
728-35-9919|4475987622023410|Christine|Sanders|F|78006 Dalton River|Saint Paul|MN|55125|44.9197|-92.9439|753116|Designer, furniture|1947-11-29|717621652546|adults_50up_female_urban.json
317-30-4054|3572282005577842|Kimberly|Taylor|F|979 Mills Route|Mount Prospect|IL|60056|42.0624|-87.9377|55219|Social research officer, government|1973-04-06|997762397943|adults_50up_female_urban.json
494-70-3722|2445642400825475|Joseph|Watts|M|4064 Laura Plaza Suite 368|Ogdensburg|NJ|07439|41.0767|-74.5982|2456|Press sub|1971-10-24|272278386916|adults_50up_male_rural.json
733-95-6386|6011416389448467|Cole|Jones|M|1797 Graves Overpass|Saint Stephens|AL|36569|31.533|-88.0521|928|Emergency planning/management officer|1939-07-22|18557023491|adults_50up_male_rural.json
051-69-0363|4442703120735649|Richard|Jimenez|M|0512 Joseph Lock Apt. 872|Charlotte|NC|28269|35.2886|-80.8209|790689|Engineer, agricultural|2003-03-05|927264966457|young_adults_male_urban.json
837-49-0207|2246730371837644|Taylor|Moore|F|881 Olson Hills|Bay Shore|NY|11706|40.7051|-73.243|62543|Engineer, civil (contracting)|2001-07-04|976505596881|young_adults_female_urban.json
885-86-3569|2246502491630096|Rachel|Alvarez|F|1327 Gina Junction|Los Angeles|CA|90061|33.9245|-118.2716|2383912|Best boy|1991-10-09|391098756160|adults_2550_female_urban.json
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json
461-38-4315|180070862095937|Erica|Brown|F|87829 Morris Row Suite 118|Indiahoma|OK|73552|34.6242|-98.7349|1612|Broadcast engineer|1985-04-10|915016055940|adults_2550_female_rural.json
183-05-3311|2531096789940535|Larry|Jones|M|717 Michael Summit|Danville|VA|24540|36.6218|-79.4124|60391|Pathologist|1996-05-31|407257502832|adults_2550_male_urban.json
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|San Diego|CA|92122|32.8577|-117.2115|1241364|Technical author|1965-02-08|740271815861|adults_50up_male_urban.json
720-86-6998|2223868528975581|Wendy|Nguyen|F|6593 Nicholas Plaza Suite 577|Memphis|TN|38118|35.0514|-89.9265|697385|Occupational psychologist|1998-08-10|794569789978|adults_2550_female_urban.json
292-77-0268|213140433504880|Kristie|Howe|F|07522 Richardson Prairie|Mabton|WA|98935|46.2121|-120.0151|4190|Fisheries officer|1989-03-06|280173576486|adults_2550_female_urban.json
095-74-6551|3515727919409615|Penny|Weeks|F|6613 Cynthia Roads Suite 048|Pittsburgh|PA|15201|40.4752|-79.9528|687276|Architectural technologist|1990-03-21|594076940942|adults_2550_female_urban.json
154-42-8232|3520679981364629|Carlos|Miller|M|641 Shaw Trail|Las Vegas|NV|89135|36.1378|-115.3261|1417793|Conservator, furniture|1983-03-22|149301794538|adults_2550_male_urban.json
573-26-7994|6011898331465915|Brian|Gutierrez|M|3559 Kayla Extension Suite 979|Elizabeth|NJ|07202|40.6565|-74.2215|124967|Dancer|1963-05-12|49136416256|adults_50up_male_urban.json
205-88-6125|4103924051477056|Christine|Medina|F|848 Dean Divide|Millers Creek|NC|28651|36.2119|-81.2485|7132|Adult nurse|1957-12-11|641567640429|adults_50up_female_urban.json
540-06-4186|4439407016451049|Sean|Banks|M|8157 Jacob Parkway|Charlotte|NC|28213|35.2836|-80.7638|790689|Programmer, systems|1933-07-30|24534868377|adults_50up_male_urban.json
254-68-4996|376205554384041|Shawn|Zamora|M|432 Prince Shoals|Grand Junction|CO|81504|39.0791|-108.4916|103017|Copywriter, advertising|1992-05-09|799240993760|adults_2550_male_urban.json
534-87-3727|6011926495782328|Lauren|Sutton|F|48262 Lonnie Point|Scottsdale|AZ|85258|33.5647|-111.8931|268597|Site engineer|1993-01-01|794348195155|adults_2550_female_urban.json
189-41-2385|3556647423122092|Lisa|Obrien|F|330 Miller Tunnel|Janesville|WI|53546|42.6683|-89.0025|72323|Publishing rights manager|1974-01-11|550331711552|adults_50up_female_urban.json
481-92-6127|4772233060463333|Austin|Ho|M|757 Ronald Trail Apt. 965|Seattle|WA|98126|47.5444|-122.3735|837792|Nurse, mental health|1991-07-29|630254100367|adults_2550_male_urban.json
550-68-0631|213177038860861|Kelli|Mccoy|F|47644 Jackson Hill|Jerome|PA|15937|40.2084|-78.9873|779|Video editor|1999-03-15|59781790776|adults_2550_female_rural.json
530-19-7596|4181298266570277|Leslie|Marquez|F|1452 Christopher Squares|Stockbridge|GA|30281|33.5633|-84.2165|66140|Production assistant, television|1969-06-23|397860311539|adults_50up_female_urban.json
537-91-6293|3568602592222062|Elizabeth|Cross|F|2123 Cindy Glen Apt. 777|Midlothian|VA|23114|37.4815|-77.6419|88279|Speech and language therapist|1986-11-26|7762958252|adults_2550_female_urban.json
506-31-3554|3576719903849837|Anthony|Hernandez|M|20994 Knapp Causeway Apt. 622|Daly City|CA|94015|37.6787|-122.478|107941|Higher education careers adviser|1993-09-07|728474083546|adults_2550_male_urban.json
717-77-9377|213179501455617|Olivia|Bridges|F|7214 Rose Pine|Alameda|CA|94501|37.7706|-122.2648|73812|Engineer, manufacturing systems|1990-07-12|230621831621|adults_2550_female_urban.json
060-14-9362|3579469548995291|Kristine|Stone|F|2934 Aaron Burg Suite 139|Bluefield|WV|24701|37.3327|-81.1601|20786|Patent examiner|1974-10-28|49022933417|adults_50up_female_urban.json
359-72-3479|676334414486|Krista|Wang|F|556 Marilyn Fields|Erie|PA|16504|42.1108|-80.0521|187498|Lawyer|1990-05-11|372948439863|adults_2550_female_urban.json
491-61-0583|4727857608495880|Alicia|Ray|F|1240 Terrell Road Apt. 996|Salem|OR|97301|44.949|-123.004|249657|Embryologist, clinical|1956-11-18|127110381193|adults_50up_female_urban.json
316-91-5153|3546173574384210|James|Johnson|M|78078 James Orchard|Sudbury|MA|01776|42.3837|-71.4282|17659|Scientist, research (physical sciences)|1997-07-27|851736505116|adults_2550_male_urban.json
147-99-1610|213130768104091|Shane|Cook|M|84094 Manuel Fields|Alpharetta|GA|30004|34.1124|-84.302|165556|Historic buildings inspector/conservation officer|1956-02-20|585303752969|adults_50up_male_urban.json
792-57-1928|4241098813858542496|Danielle|Jones|F|702 Thomas Spring Apt. 160|Lexington|SC|29072|33.9724|-81.2359|90341|Chartered legal executive (England and Wales)|1967-11-10|431328386041|adults_50up_female_urban.json
722-77-9712|4954538179217176|Emily|Newman|F|3329 Durham Lock Apt. 557|Lake Charles|LA|70605|30.1693|-93.2218|124276|Ranger/warden|1967-02-02|68849460206|adults_50up_female_urban.json
116-45-7843|30245992816152|Justin|Jones|M|769 Allen Gardens Apt. 761|Broomfield|CO|80020|39.9245|-105.0609|92337|Librarian, public|1939-03-04|894247573582|adults_50up_male_urban.json
606-56-7133|3583219719975810|Rodney|Thompson|M|91965 Newman Circle Apt. 329|New Britain|CT|06053|41.6867|-72.7908|73240|Academic librarian|1963-08-13|162165414008|adults_50up_male_urban.json
153-58-8705|4997335494651909867|Sarah|Phelps|F|8008 Rodriguez Haven|Linden|TN|37096|35.5944|-87.8567|5503|Airline pilot|1940-06-27|473456755696|adults_50up_female_urban.json
605-51-5213|3566683272386569|Brittany|Bright|F|01027 Proctor Dale|Pittsburgh|PA|15218|40.4237|-79.89|687276|Chartered accountant|1992-11-22|704963993110|adults_2550_female_urban.json
881-59-9903|6011786876532696|Adrienne|Jimenez|F|846 Johnson Camp|Norfolk|VA|23508|36.8859|-76.3004|242803|Tax inspector|1984-02-24|775169734100|adults_2550_female_urban.json
116-75-7890|3528478189137180|Robert|Edwards|M|8077 Berry Isle|Glastonbury|CT|06033|41.7073|-72.5727|28762|Pharmacist, community|1955-07-16|880372777813|adults_50up_male_urban.json
297-22-0579|3594079290490473|Angela|Wagner|F|2944 Smith Creek Apt. 927|Chalmette|LA|70043|29.9466|-89.9611|16760|Merchant navy officer|2009-01-09|192448210387|young_adults_female_urban.json
802-90-3870|30280512927668|Cynthia|Alexander|F|95041 Gary Locks|Yonkers|NY|10703|40.9518|-73.8852|177756|Publishing copy|1986-11-20|520985404788|adults_2550_female_urban.json
771-69-3829|6574286047658016|Thomas|Walsh|M|454 Lang Glens Suite 739|Chesapeake|VA|23322|36.6434|-76.242|222272|Engineer, broadcasting (operations)|1951-05-21|371600365664|adults_50up_male_urban.json
707-24-5133|213101061817531|Molly|King|F|91093 Jean Crest|Davis|CA|95616|38.5538|-121.7418|47032|Chartered legal executive (England and Wales)|1932-01-22|665103348898|adults_50up_female_urban.json
385-85-9275|4244717465421409|Janet|Cook|F|4271 Krause Flats|Buda|TX|78610|30.0918|-97.8534|23502|Travel agency manager|1965-06-02|194959880423|adults_50up_female_urban.json
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json
725-99-8040|36618306719854|Gavin|Turner|M|158 Miller Mount|Essex Junction|VT|05452|44.5035|-73.0906|19710|Horticultural consultant|1955-07-14|221825580025|adults_50up_male_urban.json
568-06-6295|4461571732030931|Katherine|Brown|F|8700 Brown Turnpike Apt. 613|Gibsonia|PA|15044|40.6252|-79.9443|27049|Scientist, research (medical)|1981-01-03|956395061779|adults_2550_female_urban.json
153-95-9493|4027079032024|Mackenzie|Conway|F|9291 Danny Ranch|Owings|MD|20736|38.6955|-76.6061|8904|Warden/ranger|1962-04-04|69666828528|adults_50up_female_urban.json
437-44-6587|349825309251148|Charles|Perry|M|273 Dennis Turnpike Suite 207|Manorville|NY|11949|40.8421|-72.8002|14573|Catering manager|1987-11-23|4322238535|adults_2550_male_urban.json
092-91-9728|4723248763290927910|Mark|Patton|M|0833 Valerie Court Suite 883|Deckerville|MI|48427|43.5151|-82.7191|2879|Psychologist, forensic|1967-02-07|690503315009|adults_50up_male_urban.json
214-36-0870|4277220054365|Danielle|Jensen|F|10822 Todd Crescent Apt. 379|Las Vegas|NV|89118|36.0811|-115.2169|1417793|TEFL teacher|1955-06-07|460961541101|adults_50up_female_urban.json
766-87-5337|4531363631797|Kari|Zamora|F|97265 Stephen Fields|Pinehurst|NC|28374|35.1884|-79.4732|15990|Mechanical engineer|1958-10-05|300542724083|adults_50up_female_urban.json
344-17-0526|3542177625349290|Taylor|Lane|M|68739 Hood Harbors|Casa Grande|AZ|85122|32.8906|-111.754|62569|Administrator, education|1941-11-17|471286837656|adults_50up_male_urban.json
894-32-4061|379392906007806|Jeffery|Foster|M|7318 Heather Lodge|Aurora|CO|80016|39.6012|-104.7394|389246|Engineering geologist|1970-01-17|391412017641|adults_50up_male_urban.json
245-83-1487|675942799072|John|Taylor|M|57016 Schmidt Hill Suite 498|Houston|TX|77017|29.6863|-95.2555|2906700|Teaching laboratory technician|2003-01-23|231045526966|young_adults_male_urban.json
083-80-5501|3585016579055289|Michele|Castro|F|53817 Karen Trace|Liberty|KY|42539|37.3146|-84.9719|10026|Equality and diversity officer|1941-04-18|387923438251|adults_50up_female_urban.json
516-88-6930|4155778817884795134|Stephanie|Ellis|F|2411 Joshua Square|Warren|MI|48089|42.4685|-82.9974|134056|Data scientist|1984-02-04|165340472930|adults_2550_female_urban.json
534-81-0372|4827567043103856958|Mary|Buchanan|F|887 Torres Curve Suite 243|Canton|OH|44718|40.8465|-81.4408|192805|Radio broadcast assistant|1984-12-13|847346136203|adults_2550_female_urban.json
152-46-4660|30292842222314|Amanda|Stewart|F|4523 Elizabeth Key|Knoxville|TN|37918|36.0501|-83.9226|391389|Data scientist|2003-08-11|491227929210|young_adults_female_urban.json
167-69-4941|5167275208854741|Tracy|Webster|F|751 Mccullough Dam|Dayton|OH|45417|39.7528|-84.247|479994|Structural engineer|1978-05-15|335509428125|adults_2550_female_urban.json
412-80-3611|30515093983436|Alison|Ryan|F|186 Tracy Rapids Apt. 562|Almont|MI|48003|42.926|-83.0362|6070|Physiotherapist|1953-11-04|422494343629|adults_50up_female_urban.json
013-37-5652|377813767426621|Sara|Harper|F|47851 Davis Lodge|Reading|PA|19604|40.3507|-75.9143|213013|Government social research officer|1940-09-07|190758885169|adults_50up_female_urban.json
474-91-9305|4264870494787301|Rick|Moore|M|714 White Spurs Apt. 014|Oxnard|CA|93033|34.1685|-119.1717|211523|Research officer, government|2002-11-29|657416577242|young_adults_male_urban.json
371-75-7873|3547158904290251|Joel|Steele|M|04565 Keith Pines Apt. 832|Garland|TX|75044|32.9522|-96.6654|226892|Chief Marketing Officer|1977-05-14|827205386114|adults_2550_male_urban.json
557-42-5181|4451895202845763|Gerald|Bartlett|M|28338 Robert Club|Winchester|NH|03470|42.7788|-72.344|5033|Commercial horticulturist|2004-09-08|145250832177|young_adults_male_urban.json
492-45-5105|3527985240132233|Eric|Clark|M|1107 Williams Coves|San Francisco|CA|94108|37.7929|-122.4079|805301|Amenity horticulturist|1933-08-03|724960651796|adults_50up_male_urban.json
608-08-7686|2250140119393251|Alyssa|Thomas|F|552 William Cliff Apt. 908|Seattle|WA|98121|47.6151|-122.3447|837792|Engineer, water|1970-06-21|213527785060|adults_50up_female_urban.json
176-97-8801|060413875927|Jeffrey|Rosario|M|6638 Rick Trace|Columbus|MS|39701|33.4109|-88.5047|50547|Interior and spatial designer|1977-08-03|511632032337|adults_2550_male_urban.json
533-18-8124|378015716479474|Darrell|Russell|M|17520 Powers Locks Suite 811|Hinesville|GA|31313|31.8513|-81.6072|40302|Customer service manager|1961-10-02|439782366510|adults_50up_male_urban.json
605-14-2765|2283539613674994|Don|Clarke|M|7967 Hernandez Motorway Apt. 147|Mannford|OK|74044|36.0927|-96.3576|7406|Research scientist (medical)|1988-08-25|688186139417|adults_2550_male_urban.json
031-13-0866|2502695249911872|Ricky|Harris|M|8485 Stephanie Bypass Suite 167|Phoenix|AZ|85041|33.3889|-112.0954|1312922|International aid/development worker|1976-07-30|415979927589|adults_2550_male_urban.json
471-05-0539|4276246719788976|John|Dickerson|M|4796 Miranda Haven|Pasadena|CA|91104|34.1678|-118.1261|153114|IT sales professional|1994-01-21|30328585053|adults_2550_male_urban.json
047-17-6004|345616556503339|Matthew|Watkins|M|1520 Johnson Shoals|Middletown|OH|45042|39.5321|-84.3896|79273|Pharmacist, hospital|1977-02-03|565080469383|adults_2550_male_urban.json
274-03-7696|3556965917135788|Robert|Contreras|M|456 Tyler Vista|Indianapolis|IN|46239|39.7265|-86.0005|910148|Call centre manager|1992-05-01|935617309923|adults_2550_male_urban.json
220-37-4345|579639191959|Denise|Knight|F|3514 Reynolds Plains Suite 366|Hamburg|NY|14075|42.7334|-78.8389|41937|Food technologist|1994-03-26|565324915175|adults_2550_female_urban.json
688-98-8972|4829737489690832|Jackson|Hernandez|M|466 Dalton Circles|Cape May Court House|NJ|08210|39.1378|-74.7806|17167|Engineer, electronics|1967-06-03|454604966623|adults_50up_male_urban.json
844-37-2632|4631230347786603246|Chad|Green|M|820 Casey Centers Apt. 594|Albuquerque|NM|87111|35.1347|-106.5222|641349|Bonds trader|1961-01-30|985295591878|adults_50up_male_urban.json
688-85-1480|6011319818984716|David|Martinez|M|9636 Drew Extensions Apt. 476|Dyersville|IA|52040|42.4833|-91.1183|5526|Forest/woodland manager|1994-05-13|647951221385|adults_2550_male_urban.json
503-69-6140|3558673425754094|Andrew|Stevenson|M|348 Parker Squares|Erlanger|KY|41018|39.0082|-84.5977|27345|Medical laboratory scientific officer|1980-11-26|892937260466|adults_2550_male_urban.json
125-69-3873|36064413432752|Sherry|Wang|F|41776 Love Wells Apt. 248|Clayton|NC|27520|35.6348|-78.451|54573|Brewing technologist|2004-04-25|461072712167|young_adults_female_urban.json
747-71-5354|30002720634591|Angela|Moore|F|657 Russo Dale|North Fort Myers|FL|33917|26.7357|-81.8435|49442|Gaffer|1981-06-26|752364363524|adults_2550_female_urban.json
847-42-4617|4652669300893|Lori|Meadows|F|42069 Burke Drive Apt. 529|Maricopa|AZ|85139|32.9576|-112.0534|51612|Commercial/residential surveyor|1976-03-05|786039638224|adults_2550_female_urban.json
446-99-7434|4133344762639346|Nicholas|Lopez|M|2044 Christine Gateway|Orlando|FL|32811|28.5163|-81.4516|878243|Merchant navy officer|1995-11-21|754122826432|adults_2550_male_urban.json
470-11-0170|30256366941187|Anthony|Cook|M|5990 Jon River|Seattle|WA|98107|47.6701|-122.3763|837792|Museum/gallery curator|1999-01-08|736134617514|adults_2550_male_urban.json
136-72-0674|3542875721586240|Audrey|Williams|F|4564 Austin Trace|Charleston|SC|29414|32.8215|-80.0568|195110|Geneticist, molecular|1998-08-14|345817764459|adults_2550_female_urban.json
169-41-8050|4032032074276178|Amanda|Kelly|F|7121 Davis Ways Suite 228|Oak Park|IL|60304|41.8725|-87.7877|51878|Government social research officer|1953-10-29|981671672588|adults_50up_female_urban.json
600-28-9561|676192613716|Stacy|Johnson|F|5915 Anthony Mount|Salem|OR|97304|44.9588|-123.0753|249657|Quantity surveyor|1992-07-25|689144920939|adults_2550_female_urban.json
609-85-0096|349759230450182|Trevor|James|M|2361 Melissa Estates Suite 642|Nashville|TN|37211|36.0725|-86.724|431336|Community arts worker|1972-02-28|538153160157|adults_50up_male_urban.json
754-40-9888|4158377674996164|Robert|Austin|M|610 Mcpherson Springs Apt. 278|Morning Sun|IA|52640|41.0984|-91.2581|1447|Scientist, water quality|2002-09-17|318188228747|young_adults_male_rural.json
448-11-7826|4243864908108186611|John|Cortez|M|4918 Daniel Shore Suite 226|Denver|CO|80215|39.7435|-105.1009|990452|Armed forces technical officer|1999-12-06|455624263623|adults_2550_male_urban.json
305-41-9621|3579452321941682|Alicia|Foster|F|77697 Montgomery Ridges|Nampa|ID|83686|43.5441|-116.566|104532|Media planner|1967-12-19|741700746879|adults_50up_female_urban.json
692-51-4959|5520310303723681|Connor|Turner|M|76012 Joanne Mills Suite 707|Bronx|NY|10452|40.8376|-73.9216|1382480|Textile designer|1952-06-27|220085418516|adults_50up_male_urban.json
584-51-0835|341667998407674|Kayla|Hardy|F|08069 Tran Grove Suite 717|Reseda|CA|91335|34.2007|-118.5391|74363|Writer|1936-01-12|712702425539|adults_50up_female_urban.json
460-90-7148|503843757389|Colleen|Stout|F|724 Moyer Village Suite 729|Seattle|WA|98102|47.6302|-122.321|837792|Engineer, maintenance (IT)|1987-10-19|757127388601|adults_2550_female_urban.json
089-86-7912|4329716743380054|Stanley|Kelly|M|80156 Christina Crest|Griffin|GA|30224|33.2404|-84.2734|61966|Surveyor, planning and development|1997-06-29|533538428144|adults_2550_male_urban.json
349-46-0765|180028910771198|Leonard|Garrison|M|081 Crystal Ways|Mercedes|TX|78570|26.1513|-97.9185|32525|Engineer, land|1990-10-09|399049645339|adults_2550_male_urban.json
746-38-7234|180012552137603|David|Lamb|M|8214 Espinoza Mall Suite 328|Belleville|NJ|07109|40.7946|-74.1631|35897|Pharmacist, community|1953-05-05|252489169043|adults_50up_male_urban.json
822-55-6774|6585072081155623|Jessica|Long|F|290 Barnes Springs|Gulfport|MS|39507|30.3962|-89.0353|83530|Surgeon|1960-09-10|334464334871|adults_50up_female_urban.json
761-41-5639|578926738993|Marissa|Terry|F|41085 Hardy Streets Apt. 884|Colorado Springs|CO|80903|38.8388|-104.8145|525713|Engineer, production|1959-07-20|558744405500|adults_50up_female_urban.json
320-67-5583|4008943468105486|Henry|Williams|M|4907 Bird Valley|Williamsburg|VA|23185|37.2732|-76.7324|85370|Television camera operator|1988-10-10|784113269443|adults_2550_male_urban.json
682-69-9758|4449268315897|Cheryl|Osborne|F|26611 Roger Curve Suite 371|Brooklyn|NY|11225|40.6628|-73.9546|2504700|Merchant navy officer|1990-05-11|578432547912|adults_2550_female_urban.json
603-72-8503|6597677622827724|Tracy|Palmer|F|377 Julie Points|Marion|AR|72364|35.2077|-90.1989|15831|Merchant navy officer|1968-09-14|661935059927|adults_50up_female_urban.json
113-16-6056|3508215454470225|Richard|Fisher|M|3270 Amy Cliff Apt. 679|San Dimas|CA|91773|34.1023|-117.8169|33119|Insurance claims handler|1930-11-26|496351176830|adults_50up_male_urban.json
801-49-7787|3528777251996633|Stephanie|Morgan|F|741 Jasmine Ports|Palestine|TX|75801|31.7588|-95.6342|39196|Insurance broker|1992-06-30|711079270988|adults_2550_female_urban.json
660-72-1396|4983780182047|Richard|Sanchez|M|89569 Travis Brooks Suite 626|Lincoln|NE|68512|40.7565|-96.6946|266032|Aeronautical engineer|1976-03-18|583512746771|adults_2550_male_urban.json
392-33-1492|5482422412462097|Tonya|White|F|6152 Orozco Green|Lodi|CA|95242|38.1308|-121.3345|72565|Mining engineer|1986-10-19|910282144077|adults_2550_female_urban.json
054-26-3926|3578861405786170|Allen|Schultz|M|8913 Kevin Lodge|West Chicago|IL|60185|41.8886|-88.2022|36527|Product designer|1954-02-12|928073319573|adults_50up_male_urban.json
513-27-2333|343868700794205|Amy|Weeks|F|465 Brenda Pass Suite 028|Westminster|MD|21157|39.5642|-76.9807|57154|Surveyor, quantity|1951-08-19|326717883990|adults_50up_female_urban.json
405-90-2015|4639855474355375|Tyler|Murphy|M|097 Rachel Spring|Accomac|VA|23301|37.7159|-75.6803|1831|Early years teacher|2010-01-19|611659877737|young_adults_male_rural.json
721-63-6436|213118071569563|Christopher|Tate|M|75370 Julia Trace|Stockton|NJ|08559|40.4397|-74.9554|4982|Health visitor|1960-09-12|393888005209|adults_50up_male_urban.json
093-79-4968|3537504793036143|Laura|Snyder|F|999 Cameron Crossroad|Bronx|NY|10472|40.8295|-73.8716|1382480|Bookseller|1980-07-08|284015153138|adults_2550_female_urban.json
877-30-8571|3530894870605663|Donald|Frazier|M|5803 Joshua Manor Suite 506|Saint Paul|NE|68873|41.2242|-98.444|3289|Engineer, broadcasting (operations)|1952-05-23|87336896474|adults_50up_male_urban.json
828-04-3697|3513325411076099|Rebecca|Mcconnell|F|17350 Stone Freeway Apt. 997|Monterey Park|CA|91755|34.048|-118.115|60238|Chief of Staff|1991-06-16|492312124212|adults_2550_female_urban.json
128-11-0995|630451207041|Lisa|Reynolds|F|080 Horn Locks|Wylie|TX|75098|33.0041|-96.5394|48197|Chief Operating Officer|2005-09-12|827285012637|young_adults_female_urban.json
239-77-0174|36769915078594|Corey|Garcia|M|392 Kelly Orchard|Cressona|PA|17929|40.6284|-76.195|1606|Web designer|2000-12-27|203773109823|young_adults_male_rural.json
141-06-0992|4968549822749543|Jacob|Smith|M|38806 Gonzalez Flats|Pompano Beach|FL|33065|26.2729|-80.2603|425636|Engineer, drilling|1961-04-09|76387126423|adults_50up_male_urban.json
194-86-7795|3595995946521701|Jon|Mora|M|379 John Street|Fort Yukon|AK|99740|65.2264|-151.0251|585|Learning disability nurse|1980-08-15|815216022800|adults_2550_male_rural.json
211-52-3019|580150812478|Cory|Willis|M|03342 Nicole Stravenue Apt. 583|Fresno|CA|93702|36.74|-119.7532|570271|Editor, magazine features|1983-10-15|22316596654|adults_2550_male_urban.json
864-34-1658|676326153472|David|Pacheco|M|961 Drew Curve|Tucson|AZ|85745|32.2434|-111.0179|865276|Energy manager|1965-12-28|584938817144|adults_50up_male_urban.json
712-48-5210|3530993842530429|Sarah|Schmitt|F|17912 Potter Rue Suite 787|Mesa|AZ|85207|33.4321|-111.6426|478404|Editorial assistant|1958-11-13|783066267688|adults_50up_female_urban.json
539-89-7919|3574969033373636|Eric|Oneal|M|4812 Kenneth Path|Rocky River|OH|44116|41.4694|-81.8512|20268|Management consultant|1978-09-20|640938732280|adults_2550_male_urban.json
477-66-5512|6576657546027341|Maria|Howard|F|8881 House Courts|Chester Springs|PA|19425|40.0978|-75.6398|13922|Commissioning editor|1949-05-26|395443431480|adults_50up_female_urban.json
560-26-5469|4444392840449|Samantha|Logan|F|9078 Michelle Forks Apt. 373|Maricopa|AZ|85139|32.9576|-112.0534|51612|Scientist, clinical (histocompatibility and immunogenetics)|1968-04-20|865809587905|adults_50up_female_urban.json
776-60-7560|345366377805295|Shane|Torres|M|5536 Jennings Lodge|Mesquite|TX|75149|32.7678|-96.6082|163734|Soil scientist|1986-10-20|357769217573|adults_2550_male_urban.json
024-73-0528|4599996636186379|Ashley|Hudson|F|412 Emily Fall Apt. 970|Fontana|CA|92336|34.1173|-117.4378|221665|Embryologist, clinical|1956-12-21|73869137112|adults_50up_female_urban.json
291-27-3819|4705802566212867162|Troy|Glenn|M|46729 Matthews Parkway|West Bloomfield|MI|48322|42.5424|-83.3793|66323|Proofreader|1965-02-16|220226342085|adults_50up_male_urban.json
147-58-1049|6011859777901474|Hannah|Kirby|F|9263 Rachel Street Suite 762|Chattanooga|TN|37421|35.025|-85.1459|198659|Teacher, adult education|1962-04-02|429907045757|adults_50up_female_urban.json
045-31-2588|4137681511856724388|Andrew|Johnson|M|5636 Alex Crescent Apt. 577|Acworth|GA|30102|34.0707|-84.5894|91843|Psychologist, clinical|1959-10-09|90487389653|adults_50up_male_urban.json
